Annotation_Accession,host,isolation_source,Manual_Annotation
GCA_006007945.1_ASM600794v1,NA,futsai,Food
GCA_012568245.1_ASM1256824v1,Donacia thalassina,Beetle Malpighian tubules,Animals
GCA_001549815.1_XFAS003-SEQ-2-ASM-1,Coffea,leaf,Agriculture
GCA_008327825.1_ASM832782v1,NA,NA,NA
GCA_000239475.1_ASM23947v1,Ixodes persulcatus,female tick,Animals
GCA_003515605.1_ASM351560v1,Solanum tuberosum,Potato bacterial wilt,Agriculture
GCA_003408875.1_ASM340887v1,Sus scrofa,palatine tonsil,Livestock
GCA_000658965.1_ASM65896v1,Actinidia,NA,Agriculture
GCA_003071405.1_ASM307140v1,NA,NA,NA
GCA_002706325.1_ASM270632v1,Rhodobacter sphaeroides 2.4.1,NA,Freshwater
GCA_002327205.1_ASM232720v1,Bos taurus,tissue samples,Livestock
GCA_001701835.2_ASM170183v2,Homo sapiens,Stool,Humans
GCA_002847305.1_ASM284730v1,Tegillarca granosa,NA,Animals
GCA_000195935.2_ASM19593v2,NA,NA,NA
GCA_002165305.2_ASM216530v2,NA,Sewage,Human-impacted
GCA_008931805.1_ASM893180v1,NA,seawater,Marine
GCA_000319105.1_ASM31910v1,NA,NA,NA
GCA_009797665.1_ASM979766v1,NA,NA,NA
GCA_009617995.1_ASM961799v1,NA,ENVO:01001050,Sediment
GCA_006965545.2_ASM696554v2,Suaeda salsa,NA,Plants
GCA_002162055.1_ASM216205v1,piglet,duodenum mucosa,Livestock
GCA_000007885.1_ASM788v1,NA,NA,NA
GCA_001687125.1_ASM168712v1,Homo sapiens,Perirectal swab,Humans
GCA_002243605.1_ASM224360v1,NA,high-temperature oilfield,Human-impacted
GCA_900087625.2_WHOO,NA,NA,NA
GCA_000188735.1_ASM18873v1,NA,NA,NA
GCA_009938285.1_ASM993828v1,Homo sapiens,NA,Humans
GCA_009363355.1_ASM936335v1,NA,Surface of a polyethylene microplastic particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree C,Human-impacted
GCA_002933315.1_ASM293331v1,Edessa sp.,NA,Animals
GCA_006094375.1_ASM609437v1,NA,NA,NA
GCA_000953735.1_MVIS1,NA,NA,NA
GCA_013201075.1_ASM1320107v1,Cladonia borealis,lichen,Plants
GCA_002740845.1_ASM274084v1,Homo sapiens,fecal screen,Humans
GCA_002164635.4_ASM216463v4,Homo sapiens,NA,Humans
GCA_001543055.1_ASM154305v1,rice,NA,Agriculture
GCA_000055945.1_ASM5594v1,Sus scrofa,NA,Livestock
GCA_005979285.1_ASM597928v1,Pig,faecal swab,Livestock
GCA_004919285.1_ASM491928v1,Homo sapiens,NA,Humans
GCA_007753455.1_ASM775345v1,NA,iron hydroxide deposits,Terrestrial
GCA_002105555.1_ASM210555v1,NA,water,Freshwater
GCA_003994455.1_ASM399445v1,pig,feces,Livestock
GCA_001578105.1_ASM157810v1,NA,petroleum-contaminated soil with high salinity,Human-impacted
GCA_000512275.1_ASM51227v1,NA,wastewater treatment,Human-impacted
GCA_900249755.1_CBM2587,NA,NA,NA
GCA_002852365.2_ASM285236v2,Homo sapiens,NA,Humans
GCA_002888715.1_ASM288871v1,NA,cleaning system aquaculture,Human-impacted
GCA_001278435.1_ASM127843v1,Tragelaphus strepsiceros,NA,Animals
GCA_009731445.1_ASM973144v1,Apis mellifera,NA,Animals
GCA_009909365.1_ASM990936v1,Homo sapiens,blood,Humans
GCA_004794815.2_ASM479481v2,NA,Enviornmental,NA
GCA_004103475.1_ASM410347v1,NA,food,Food
GCA_001515665.1_ASM151566v1,NA,From patient with pneumonia,Humans
GCA_000262755.1_ASM26275v1,NA,NA,NA
GCA_001664405.1_ASM166440v1,Phaseolus vulgaris,legume-root nodule,Agriculture
GCA_001593305.1_ASM159330v1,Botryllus sp.,NA,Animals
GCA_005221745.1_ASM522174v1,NA,cattle,Livestock
GCA_002407145.1_ASM240714v1,NA,chicken breast,Food
GCA_000756415.3_ASM75641v3,Oncorhynchus kisutch,NA,Animals
GCA_001183805.1_ASM118380v1,Homo sapiens,NA,Humans
GCA_005222125.1_ASM522212v1,Apis mellifera,diseased honeybee,Animals
GCA_000011805.1_ASM1180v1,NA,NA,NA
GCA_013167355.1_ASM1316735v1,Homo sapiens,NA,Humans
GCA_004135105.1_ASM413510v1,Neophocaena asiaeorientalis,NA,Animals
GCA_000223905.1_ASM22390v1,NA,NA,NA
GCA_003071305.1_ASM307130v1,NA,NA,NA
GCA_000583045.1_ASM58304v1,NA,NA,NA
GCA_900520335.1_ASM90052033v1,NA,NA,NA
GCA_001077655.1_ASM107765v1,Homo sapiens,blood,Humans
GCA_013375835.1_ASM1337583v1,Homo sapiens,endotracheal tube (ETT) or tracheostomy tube,Humans
GCA_003342675.1_ASM334267v1,NA,solar salt,Terrestrial
GCA_009268135.1_ASM926813v1,NA,NA,NA
GCA_001456315.1_ASM145631v1,Hibiscus,Plant xylem,Plants
GCA_000015985.1_ASM1598v1,NA,NA,NA
GCA_001191565.1_ASM119156v1,NA,Koumiss,Food
GCA_000153625.1_ASM15362v1,NA,NA,NA
GCA_012849555.1_ASM1284955v1,NA,Flower of Forsythia koreana,Plants
GCA_000742875.1_ASM74287v1,NA,NA,NA
GCA_011065345.1_ASM1106534v1,Homo sapiens,feces,Humans
GCA_001648215.1_ASM164821v1,Homo sapiens,NA,Humans
GCA_004103655.1_ASM410365v1,NA,food,Food
GCA_000239975.1_ASM23997v1,NA,NA,NA
GCA_009914015.1_ASM991401v1,NA,Soybean paste (Chonggugjang),Food
GCA_000765415.1_ASM76541v1,Homo sapiens,NA,Humans
GCA_901827155.1_ASM90182715v1,NA,linuron-contaminated soil,Human-impacted
GCA_003627485.2_ASM362748v2,Homo sapiens,blood,Humans
GCA_002633985.1_ASM263398v1,cattle,NA,Livestock
GCA_005491525.1_ASM549152v1,NA,air,Terrestrial
GCA_000148405.1_ASM14840v1,grape,NA,Agriculture
GCA_001806485.1_ASM180648v1,Homo sapiens,Wound,Humans
GCA_003595425.1_ASM359542v1,Homo sapiens,Urine,Humans
GCA_010586925.1_ASM1058692v1,NA,NA,NA
GCA_002197085.1_ASM219708v1,Medicago truncatula,NA,Plants
GCA_013341395.1_ASM1334139v1,Homo sapiens,urine specimens,Humans
GCA_004919535.4_ASM491953v4,NA,sediment,Sediment
GCA_000318545.1_ASM31854v1,NA,NA,NA
GCA_002220265.1_ASM222026v1,Homo sapiens,Stool,Humans
GCA_012955485.1_ASM1295548v1,Homo sapiens,feces,Humans
GCA_009930835.1_ASM993083v1,Homo sapiens,Blood and wound,Humans
GCA_013344685.1_ASM1334468v1,NA,mineral salt medium,Human-impacted
GCA_000833165.1_ASM83316v1,NA,Blood,Humans
GCA_003795145.1_ASM379514v1,NA,kimchi,Food
GCA_006542355.1_ASM654235v1,Allamanda cathartica,Plant,Plants
GCA_002251025.2_ASM225102v2,NA,Mashed potatoes,Food
GCA_002205415.1_ASM220541v1,NA,soil,Soil
GCA_000816025.1_ASM81602v1,NA,soil,Soil
GCA_001651965.2_ASM165196v2,Bos taurus,feces from steer,Livestock
GCA_009363555.1_ASM936355v1,NA,Surface of a polyethylene microplastic particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree C,Human-impacted
GCA_007814625.1_ASM781462v1,NA,Milker's hand,Humans
