Well,Transposon,Plasmid,Day,TetConc,Replicate,Sample Name,probe,cycle_at_threshold
A1,B59,no_plasmid,1,5,1,no_plasmid,Cm,20.833
A1,B59,no_plasmid,1,5,1,no_plasmid,Tet,26.204
A2,B59,p15A_plasmid,1,5,1,A31_plasmid,Cm,28.894
A2,B59,p15A_plasmid,1,5,1,A31_plasmid,Tet,34.169
A3,B59,pUC_plasmid,1,5,1,A18_plasmid,Cm,31.178
A3,B59,pUC_plasmid,1,5,1,A18_plasmid,Tet,36.953
A6,B59,no_plasmid,0,0,1,no_plasmid_ancestor,Cm,23.637
A6,B59,no_plasmid,0,0,1,no_plasmid_ancestor,Tet,27.616
A7,B59,p15A_plasmid,0,0,1,A31_plasmid_ancestor,Cm,24.513
A7,B59,p15A_plasmid,0,0,1,A31_plasmid_ancestor,Tet,28.306
A8,B59,pUC_plasmid,0,0,1,A18_plasmid_ancestor,Cm,24.120
A8,B59,pUC_plasmid,0,0,1,A18_plasmid_ancestor,Tet,28.273
A10,B59,no_plasmid,1,0,1,no_plasmid,Cm,21.608
A10,B59,no_plasmid,1,0,1,no_plasmid,Tet,25.991
A11,B59,p15A_plasmid,1,0,1,A31_plasmid,Cm,23.030
A11,B59,p15A_plasmid,1,0,1,A31_plasmid,Tet,27.390
A12,B59,pUC_plasmid,1,0,1,A18_plasmid,Cm,21.199
A12,B59,pUC_plasmid,1,0,1,A18_plasmid,Tet,25.412
B1,B59,no_plasmid,1,5,2,no_plasmid,Cm,23.711
B1,B59,no_plasmid,1,5,2,no_plasmid,Tet,28.328
B2,B59,p15A_plasmid,1,5,2,A31_plasmid,Cm,33.148
B2,B59,p15A_plasmid,1,5,2,A31_plasmid,Tet,38.680
B3,B59,pUC_plasmid,1,5,2,A18_plasmid,Cm,31.516
B3,B59,pUC_plasmid,1,5,2,A18_plasmid,Tet,37.237
B6,B59,no_plasmid,1,0,2,no_plasmid_ancestor,Cm,24.186
B6,B59,no_plasmid,1,0,2,no_plasmid_ancestor,Tet,28.286
B7,B59,p15A_plasmid,1,0,2,A31_plasmid_ancestor,Cm,24.886
B7,B59,p15A_plasmid,1,0,2,A31_plasmid_ancestor,Tet,28.982
B8,B59,pUC_plasmid,1,0,2,A18_plasmid_ancestor,Cm,24.139
B8,B59,pUC_plasmid,1,0,2,A18_plasmid_ancestor,Tet,28.413
B10,B59,no_plasmid,1,0,2,no_plasmid,Cm,21.840
B10,B59,no_plasmid,1,0,2,no_plasmid,Tet,26.259
B11,B59,p15A_plasmid,1,0,2,A31_plasmid,Cm,23.269
B11,B59,p15A_plasmid,1,0,2,A31_plasmid,Tet,27.746
B12,B59,pUC_plasmid,1,0,2,A18_plasmid,Cm,21.965
B12,B59,pUC_plasmid,1,0,2,A18_plasmid,Tet,26.249
C1,B59,no_plasmid,1,5,3,no_plasmid,Cm,19.805
C1,B59,no_plasmid,1,5,3,no_plasmid,Tet,24.395
C2,B59,p15A_plasmid,1,5,3,A31_plasmid,Cm,20.448
C2,B59,p15A_plasmid,1,5,3,A31_plasmid,Tet,24.991
C3,B59,pUC_plasmid,1,5,3,A18_plasmid,Cm,30.310
C3,B59,pUC_plasmid,1,5,3,A18_plasmid,Tet,35.667
C6,B59,no_plasmid,0,0,3,no_plasmid_ancestor,Cm,23.987
C6,B59,no_plasmid,0,0,3,no_plasmid_ancestor,Tet,28.238
C7,B59,p15A_plasmid,0,0,3,A31_plasmid_ancestor,Cm,24.025
C7,B59,p15A_plasmid,0,0,3,A31_plasmid_ancestor,Tet,28.122
C8,B59,pUC_plasmid,0,0,3,A18_plasmid_ancestor,Cm,22.253
C8,B59,pUC_plasmid,0,0,3,A18_plasmid_ancestor,Tet,26.566
C10,B59,no_plasmid,1,0,3,no_plasmid,Cm,21.263
C10,B59,no_plasmid,1,0,3,no_plasmid,Tet,25.595
C11,B59,p15A_plasmid,1,0,3,A31_plasmid,Cm,22.376
C11,B59,p15A_plasmid,1,0,3,A31_plasmid,Tet,26.793
C12,B59,pUC_plasmid,1,0,3,A18_plasmid,Cm,20.275
C12,B59,pUC_plasmid,1,0,3,A18_plasmid,Tet,24.567
D1,B59,no_plasmid,1,5,4,no_plasmid,Cm,21.097
D1,B59,no_plasmid,1,5,4,no_plasmid,Tet,25.702
D2,B59,p15A_plasmid,1,5,4,A31_plasmid,Cm,25.472
D2,B59,p15A_plasmid,1,5,4,A31_plasmid,Tet,30.335
D3,B59,pUC_plasmid,1,5,4,A18_plasmid,Cm,21.519
D3,B59,pUC_plasmid,1,5,4,A18_plasmid,Tet,26.121
D10,B59,no_plasmid,1,0,4,no_plasmid,Cm,21.513
D10,B59,no_plasmid,1,0,4,no_plasmid,Tet,25.968
D11,B59,p15A_plasmid,1,0,4,A31_plasmid,Cm,22.892
D11,B59,p15A_plasmid,1,0,4,A31_plasmid,Tet,27.350
D12,B59,pUC_plasmid,1,0,4,A18_plasmid,Cm,20.287
D12,B59,pUC_plasmid,1,0,4,A18_plasmid,Tet,24.545
E1,B59,no_plasmid,1,5,5,no_plasmid,Cm,21.172
E1,B59,no_plasmid,1,5,5,no_plasmid,Tet,25.713
E2,B59,p15A_plasmid,1,5,5,A31_plasmid,Cm,22.388
