Well,Transposon,Plasmid,Day,TetConc,Replicate,Sample Name,probe,cycle_at_threshold
A1,B59,no_plasmid,1,5,1,no_plasmid,Cm,24.504
A1,B59,no_plasmid,1,5,1,no_plasmid,Tet,29.378
A2,B59,p15A_plasmid,1,5,1,A31_plasmid,Cm,31.991
A2,B59,p15A_plasmid,1,5,1,A31_plasmid,Tet,38.333
A3,B59,pUC_plasmid,1,5,1,A18_plasmid,Cm,31.026
A3,B59,pUC_plasmid,1,5,1,A18_plasmid,Tet,36.424
A6,B59,no_plasmid,0,0,1,no_plasmid_ancestor,Cm,25.315
A6,B59,no_plasmid,0,0,1,no_plasmid_ancestor,Tet,29.667
A7,B59,p15A_plasmid,0,0,1,A31_plasmid_ancestor,Cm,20.958
A7,B59,p15A_plasmid,0,0,1,A31_plasmid_ancestor,Tet,25.539
A8,B59,pUC_plasmid,0,0,1,A18_plasmid_ancestor,Cm,24.730
A8,B59,pUC_plasmid,0,0,1,A18_plasmid_ancestor,Tet,29.404
A10,B59,no_plasmid,1,0,1,no_plasmid,Cm,23.061
A10,B59,no_plasmid,1,0,1,no_plasmid,Tet,27.884
A11,B59,p15A_plasmid,1,0,1,A31_plasmid,Cm,24.007
A11,B59,p15A_plasmid,1,0,1,A31_plasmid,Tet,28.840
A12,B59,pUC_plasmid,1,0,1,A18_plasmid,Cm,24.243
A12,B59,pUC_plasmid,1,0,1,A18_plasmid,Tet,28.997
B1,B59,no_plasmid,1,5,2,no_plasmid,Cm,29.249
B1,B59,no_plasmid,1,5,2,no_plasmid,Tet,34.743
B2,B59,p15A_plasmid,1,5,2,A31_plasmid,Cm,31.487
B2,B59,p15A_plasmid,1,5,2,A31_plasmid,Tet,37.144
B3,B59,pUC_plasmid,1,5,2,A18_plasmid,Cm,31.329
B3,B59,pUC_plasmid,1,5,2,A18_plasmid,Tet,36.915
B6,B59,no_plasmid,1,0,2,no_plasmid_ancestor,Cm,25.693
B6,B59,no_plasmid,1,0,2,no_plasmid_ancestor,Tet,30.549
B7,B59,p15A_plasmid,1,0,2,A31_plasmid_ancestor,Cm,22.281
B7,B59,p15A_plasmid,1,0,2,A31_plasmid_ancestor,Tet,26.986
B8,B59,pUC_plasmid,1,0,2,A18_plasmid_ancestor,Cm,25.342
B8,B59,pUC_plasmid,1,0,2,A18_plasmid_ancestor,Tet,30.348
B10,B59,no_plasmid,1,0,2,no_plasmid,Cm,14.280
B10,B59,no_plasmid,1,0,2,no_plasmid,Tet,18.896
B11,B59,p15A_plasmid,1,0,2,A31_plasmid,Cm,17.864
B11,B59,p15A_plasmid,1,0,2,A31_plasmid,Tet,22.188
B12,B59,pUC_plasmid,1,0,2,A18_plasmid,Cm,24.320
B12,B59,pUC_plasmid,1,0,2,A18_plasmid,Tet,29.177
C1,B59,no_plasmid,1,5,3,no_plasmid,Cm,28.189
C1,B59,no_plasmid,1,5,3,no_plasmid,Tet,33.610
C2,B59,p15A_plasmid,1,5,3,A31_plasmid,Cm,31.179
C2,B59,p15A_plasmid,1,5,3,A31_plasmid,Tet,36.861
C3,B59,pUC_plasmid,1,5,3,A18_plasmid,Cm,30.473
C3,B59,pUC_plasmid,1,5,3,A18_plasmid,Tet,36.238
C6,B59,no_plasmid,0,0,3,no_plasmid_ancestor,Cm,25.927
C6,B59,no_plasmid,0,0,3,no_plasmid_ancestor,Tet,30.765
C7,B59,p15A_plasmid,0,0,3,A31_plasmid_ancestor,Cm,21.611
C7,B59,p15A_plasmid,0,0,3,A31_plasmid_ancestor,Tet,26.275
C8,B59,pUC_plasmid,0,0,3,A18_plasmid_ancestor,Cm,25.694
C8,B59,pUC_plasmid,0,0,3,A18_plasmid_ancestor,Tet,31.795
C10,B59,no_plasmid,1,0,3,no_plasmid,Cm,23.888
C10,B59,no_plasmid,1,0,3,no_plasmid,Tet,28.629
C11,B59,p15A_plasmid,1,0,3,A31_plasmid,Cm,22.904
C11,B59,p15A_plasmid,1,0,3,A31_plasmid,Tet,27.724
C12,B59,pUC_plasmid,1,0,3,A18_plasmid,Cm,23.737
C12,B59,pUC_plasmid,1,0,3,A18_plasmid,Tet,28.593
D1,B59,no_plasmid,1,5,4,no_plasmid,Cm,27.259
D1,B59,no_plasmid,1,5,4,no_plasmid,Tet,32.510
D2,B59,p15A_plasmid,1,5,4,A31_plasmid,Cm,32.585
D2,B59,p15A_plasmid,1,5,4,A31_plasmid,Tet,38.049
D3,B59,pUC_plasmid,1,5,4,A18_plasmid,Cm,30.960
D3,B59,pUC_plasmid,1,5,4,A18_plasmid,Tet,36.565
D10,B59,no_plasmid,1,0,4,no_plasmid,Cm,18.166
D10,B59,no_plasmid,1,0,4,no_plasmid,Tet,22.605
D11,B59,p15A_plasmid,1,0,4,A31_plasmid,Cm,21.925
D11,B59,p15A_plasmid,1,0,4,A31_plasmid,Tet,26.639
D12,B59,pUC_plasmid,1,0,4,A18_plasmid,Cm,23.195
D12,B59,pUC_plasmid,1,0,4,A18_plasmid,Tet,28.027
E1,B59,no_plasmid,1,5,5,no_plasmid,Cm,22.124
E1,B59,no_plasmid,1,5,5,no_plasmid,Tet,27.422
E2,B59,p15A_plasmid,1,5,5,A31_plasmid,Cm,25.966
E2,B59,p15A_plasmid,1,5,5,A31_plasmid,Tet,31.421
E3,B59,pUC_plasmid,1,5,5,A18_plasmid,Cm,32.190
E3,B59,pUC_plasmid,1,5,5,A18_plasmid,Tet,37.962
E10,B59,no_plasmid,1,0,5,no_plasmid,Cm,21.262
E10,B59,no_plasmid,1,0,5,no_plasmid,Tet,25.963
E11,B59,p15A_plasmid,1,0,5,A31_plasmid,Cm,23.358
E11,B59,p15A_plasmid,1,0,5,A31_plasmid,Tet,28.256
E12,B59,pUC_plasmid,1,0,5,A18_plasmid,Cm,24.182
E12,B59,pUC_plasmid,1,0,5,A18_plasmid,Tet,29.100
F1,B59,no_plasmid,1,5,6,no_plasmid,Cm,21.973
F1,B59,no_plasmid,1,5,6,no_plasmid,Tet,26.955
F2,B59,p15A_plasmid,1,5,6,A31_plasmid,Cm,26.779
F2,B59,p15A_plasmid,1,5,6,A31_plasmid,Tet,32.100
F3,B59,pUC_plasmid,1,5,6,A18_plasmid,Cm,32.221
F3,B59,pUC_plasmid,1,5,6,A18_plasmid,Tet,37.804
F10,B59,no_plasmid,1,0,6,no_plasmid,Cm,17.018
F10,B59,no_plasmid,1,0,6,no_plasmid,Tet,21.671
F11,B59,p15A_plasmid,1,0,6,A31_plasmid,Cm,22.988
F11,B59,p15A_plasmid,1,0,6,A31_plasmid,Tet,27.925
F12,B59,pUC_plasmid,1,0,6,A18_plasmid,Cm,22.952
F12,B59,pUC_plasmid,1,0,6,A18_plasmid,Tet,27.706
G1,B59,no_plasmid,1,5,7,no_plasmid,Cm,22.005
G1,B59,no_plasmid,1,5,7,no_plasmid,Tet,27.001
G2,B59,p15A_plasmid,1,5,7,A31_plasmid,Cm,25.981
G2,B59,p15A_plasmid,1,5,7,A31_plasmid,Tet,31.223
G3,B59,pUC_plasmid,1,5,7,A18_plasmid,Cm,29.465
G3,B59,pUC_plasmid,1,5,7,A18_plasmid,Tet,35.299
G10,B59,no_plasmid,1,0,7,no_plasmid,Cm,18.708
G10,B59,no_plasmid,1,0,7,no_plasmid,Tet,23.293
G11,B59,p15A_plasmid,1,0,7,A31_plasmid,Cm,21.985
G11,B59,p15A_plasmid,1,0,7,A31_plasmid,Tet,26.743
G12,B59,pUC_plasmid,1,0,7,A18_plasmid,Cm,23.350
G12,B59,pUC_plasmid,1,0,7,A18_plasmid,Tet,28.184
H1,B59,no_plasmid,1,5,8,no_plasmid,Cm,19.689
H1,B59,no_plasmid,1,5,8,no_plasmid,Tet,25.089
H2,B59,p15A_plasmid,1,5,8,A31_plasmid,Cm,26.416
H2,B59,p15A_plasmid,1,5,8,A31_plasmid,Tet,31.674
H3,B59,pUC_plasmid,1,5,8,A18_plasmid,Cm,26.711
H3,B59,pUC_plasmid,1,5,8,A18_plasmid,Tet,32.034
H10,B59,no_plasmid,1,0,8,no_plasmid,Cm,22.530
H10,B59,no_plasmid,1,0,8,no_plasmid,Tet,27.227
H11,B59,p15A_plasmid,1,0,8,A31_plasmid,Cm,20.562
H11,B59,p15A_plasmid,1,0,8,A31_plasmid,Tet,24.782
H12,B59,pUC_plasmid,1,0,8,A18_plasmid,Cm,22.988
H12,B59,pUC_plasmid,1,0,8,A18_plasmid,Tet,27.532
